word,thai
cat,แมว
dog,สุนัข
sun,ดวงอาทิตย์
run,วิ่ง
sea,ทะเล
big,ใหญ่
car,รถยนต์
eat,กิน
fly,บิน
sky,ท้องฟ้า
pen,ปากกา
cup,ถ้วย
bag,กระเป๋า
hot,ร้อน
top,ยอด
old,แก่
new,ใหม่
red,สีแดง
boy,เด็กชาย
day,วัน
bird,นก
fish,ปลา
moon,พระจันทร์
star,ดาว
tree,ต้นไม้
book,หนังสือ
hand,มือ
foot,เท้า
love,ความรัก
time,เวลา
door,ประตู
wind,ลม
rain,ฝน
fire,ไฟ
cold,หนาว
warm,อบอุ่น
food,อาหาร
rice,ข้าว
milk,นม
home,บ้าน
road,ถนน
city,เมือง
farm,ฟาร์ม
hill,เนินเขา
lake,ทะเลสาบ
face,ใบหน้า
hair,ผม
nose,จมูก
blue,สีน้ำเงิน
gold,ทอง
apple,แอปเปิล
water,น้ำ
table,โต๊ะ
chair,เก้าอี้
house,บ้าน
phone,โทรศัพท์
music,ดนตรี
bread,ขนมปัง
shoes,รองเท้า
smile,ยิ้ม
happy,มีความสุข
beach,ชายหาด
sleep,นอน
dream,ฝัน
light,แสง
green,สีเขียว
white,สีขาว
black,สีดำ
brown,สีน้ำตาล
plant,พืช
money,เงิน
watch,นาฬิกา
glass,แก้ว
stone,หิน
cloud,เมฆ
grass,หญ้า
heart,หัวใจ
mouth,ปาก
river,แม่น้ำ
horse,ม้า
paper,กระดาษ
knife,มีด
world,โลก
night,กลางคืน
sweet,หวาน
south,ใต้
north,เหนือ
earth,โลก
ocean,มหาสมุทร
seven,เจ็ด
three,สาม
eight,แปด
tiger,เสือ
snake,งู
piano,เปียโน
dance,เต้น
party,งานเลี้ยง
friend,เพื่อน
family,ครอบครัว
school,โรงเรียน
garden,สวน
flower,ดอกไม้
butter,เนย
cheese,ชีส
orange,ส้ม
yellow,สีเหลือง
purple,สีม่วง
window,หน้าต่าง
market,ตลาด
bridge,สะพาน
people,ผู้คน
animal,สัตว์
forest,ป่า
doctor,หมอ
sister,น้องสาว
mother,แม่
father,พ่อ
winter,ฤดูหนาว
spring,ฤดูใบไม้ผลิ
summer,ฤดูร้อน
bottle,ขวด
button,ปุ่ม
travel,เดินทาง
camera,กล้อง
ticket,ตั๋ว
island,เกาะ
temple,วัด
monkey,ลิง
rabbit,กระต่าย
forest,ป่า
temple,วัด
silver,เงิน
circle,วงกลม
square,สี่เหลี่ยม
basket,ตะกร้า
needle,เข็ม
thread,ด้าย
candle,เทียน
puzzle,ปริศนา
pencil,ดินสอ
pocket,กระเป๋า
wallet,กระเป๋าสตางค์
number,หมายเลข
letter,จดหมาย
season,ฤดูกาล
